smyth-id,citation,author,work,loc
s1397,Plat. Phaedrus 228a,P.,Phae., 228a
s1397,Xen. Hell. 4.6.11,X.,H., 4.6.11
s1398,Plat. Apol. 17c,P.,A., 17c
s1398,Xen. Cyrop. 8.3.19,X.,C., 8.3.19
s1398,Xen. Anab. 3.5.9,X.,A., 3.5.9
s1399,Plat. Apol. 35d,P.,A., 35d
s1399,Dem. 8.42,D.,, 8.42
s1399,Dem. 19.184,D.,, 19.184
s1399,Plat. Rep. 552d,P.,R., 552d
s1399,Thuc. 8.35,T.,, 8.35
s1400,Eur. Hipp. 23,E.,Hipp., 23
s1400,Antiph. 6.12,Ant.,, 6.12
s1401,Xen. Cyrop. 8.1.1,X.,C., 8.1.1
s1402,Xen. Anab. 7.7.31,X.,A., 7.7.31
s1402,Dem. 4.38,D.,, 4.38
s1402,Xen. Hell. 5.2.5,X.,H., 5.2.5
s1402,Xen. Anab. 3.1.37,X.,A., 3.1.37
s1403,Xen. Cyrop. 3.1.19,X.,C., 3.1.19
s1403,Thuc. 2.62,T.,, 2.62
s1405,Xen. Cyrop. 5.4.32,X.,C., 5.4.32
s1405,Thuc. 2.62,T.,, 2.62
s1405,Plat. Euthyd. 306c,P.,Eu., 306c
s1405,Xen. Anab. 7.4.23,X.,A., 7.4.23
s1405,Lys. 27.11,L.,, 27.11
s1405,Aesch. Seven 651,A.,Sept., 651
s1405,Dem. 15.15,D.,, 15.15
s1405,Plat. Apol. 31b,P.,A., 31b
s1405,Plat. Crito 43b,P.,Cr., 43b
s1405,Soph. El. 1027,S.,El., 1027
s1405,Xen. Cyrop. 2.3.21,X.,C., 2.3.21
s1405,Lys. 12.41,L.,, 12.41
s1405,Eur. IA 1371,E.,I. A., 1371
s1407,Xen. Cyrop. 3.1.39,X.,C., 3.1.39
s1407,Soph. Ant. 554,S.,Ant., 554
s1408,Dem. 19.76,D.,, 19.76
s1409,Thuc. 4.122,T.,, 4.122
s1409,Xen. Anab. 7.6.5,X.,A., 7.6.5
s1409,Xen. Anab. 2.1.23,X.,A., 2.1.23
s1409,Isoc. 12.193,I.,, 12.193
s1410,Hom. Od. 23.305,H.,Od.,23.305
s1410,Xen. Anab. 1.1.1,X.,A., 1.1.1
s1410,Xen. Cyrop. 1.6.44,X.,C., 1.6.44
s1411,Xen. Anab. 3.2.13,X.,A., 3.2.13
s1411,Hom. Il. 21.109,H.,Il.,21.109
s1411,Soph. El. 668,S.,El., 668
s1411,Xen. Anab. 4.6.17,X.,A., 4.6.17
s1411,Plat. Apol. 17b,P.,A., 17b
s1411,Soph. El. 424,S.,El., 424
s1414,Plat. Sym. 205a,P.,S., 205a
s1414,Plat. Phaedo 85b,P.,Ph., 85b
s1414,Dem. 2.28,D.,, 2.28
s1415,Plat. Laws 689d,P.,L., 689d
s1415,Xen. Cyrop. 2.1.31,X.,C., 2.1.31
s1415,Plat. Sym. 181c,P.,S., 181c
s1416,Soph. OT 969,S.,O. T., 969
s1416,Thuc. 3.67,T.,, 3.67
s1416,Plat. Laws 724b,P.,L., 724b
s1416,Plat. Rep. 576a,P.,R., 576a
s1417,Plat. Rep. 504b,P.,R., 504b
s1417,Xen. Ec. 11.12,X.,O., 11.12
s1417,Xen. Hiero 1.22,X.,Hi., 1.22
s1417,Soph. Phil. 867,S.,Ph., 867
s1418,Xen. Cyrop. 4.6.9,X.,C., 4.6.9
s1418,Xen. Mem. 3.1.6,X.,M., 3.1.6
s1419,Xen. Cyrop. 5.3.35,X.,C., 5.3.35
s1419,Thuc. 1.142,T.,, 1.142
s1419,Xen. Ec. 3.9,X.,O., 3.9
s1420,Aesch. Eum. 382,A.,Eum., 382
s1420,Xen. Mem. 2.6.35,X.,M., 2.6.35
s1420,Hom. Od. 1.7,H.,Od.,1.7
s1420,Xen. Cyrop. 6.1.37,X.,C., 6.1.37
s1421,Aeschin. 1.141,Aes.,, 1.141
s1421,Plat. Rep. 463d,P.,R., 463d
s1421,Thuc. 4.78,T.,, 4.78
s1421,Plat. Rep. 499a,P.,R., 499a
s1422,Dem. 18.217,D.,, 18.217
s1422,Xen. Anab. 1.2.7,X.,A., 1.2.7
s1422,Plat. Stat. 261e,P.,Pol., 261e
s1422,Plat. Sym. 197d,P.,S., 197d
s1422,Xen. Cyrop. 8.2.20,X.,C., 8.2.20
s1423,Dem. 3.16,D.,, 3.16
s1423,Thuc. 3.84,T.,, 3.84
s1424,Thuc. 2.42,T.,, 2.42
s1424,Isoc. 2.32,I.,, 2.32
s1424,Xen. Anab. 7.3.27,X.,A., 7.3.27
s1425,Plat. Gorg. 447a,P.,G., 447a
s1425,Lys. 14.5,L.,, 14.5
s1425,Plat. Laws 907e,P.,L., 907e
s1425,Thuc. 1.19,T.,, 1.19
s1425,Dem. 8.69,D.,, 8.69
s1426,Hdt. 7.36,Hdt.,, 7.36
s1427,Eur. Supp. 82,E.,Supp., 82
s1427,Plat. Rep. 548b,P.,R., 548b
s1427,Xen. Ec. 16.13,X.,O., 16.13
s1427,Xen. Mem. 4.4.24,X.,M., 4.4.24
s1427,Plat. Laws 899a,P.,L., 899a
s1428,Plat. Laws 774b,P.,L., 774b
s1428,Xen. Mem. 2.1.31,X.,M., 2.1.31
s1428,Soph. OC 865,S.,O. C., 865
s1428,Soph. Ant. 847,S.,Ant., 847
s1428,Soph. OC 1722,S.,O. C., 1722
s1428,Isoc. 12.126,I.,, 12.126
s1429,Plat. Rep. 381c,P.,R., 381c
s1429,Xen. Anab. 1.8.20,X.,A., 1.8.20
s1430,Xen. Mem. 4.4.25,X.,M., 4.4.25
s1430,Plat. Parm. 160d,P.,Par., 160d
s1430,Plat. Gorg. 500d,P.,G., 500d
s1431,Plat. Phaedrus 239a,P.,Phae., 239a
s1431,Xen. Mem. 3.11.1,X.,M., 3.11.1
s1431,Xen. Anab. 1.2.25,X.,A., 1.2.25
s1431,Isoc. 2.7,I.,, 2.7
s1432,Xen. Cyrop. 8.3.38,X.,C., 8.3.38
s1433,Plat. Gorg. 479b,P.,G., 479b
s1433,Thuc. 8.52,T.,, 8.52
s1434,Dem. 8.72,D.,, 8.72
s1434,Plat. Apol. 22c,P.,A., 22c
s1434,Plat. Rep. 603e,P.,R., 603e
s1434,Thuc. 1.10,T.,, 1.10
s1434,Dem. 21.223,D.,, 21.223
s1435,Plat. Phaedrus 239b,P.,Phae., 239b
s1435,Xen. Anab. 2.3.15,X.,A., 2.3.15
s1435,Plat. Phaedo 58e,P.,Ph., 58e
s1435,Soph. OT 1347,S.,O. T., 1347
s1436,Soph. Aj. 796,S.,Aj., 796
s1436,Aesch. Ag. 1156,A.,Ag., 1156
s1436,Xen. Mem. 4.3.7,X.,M., 4.3.7
s1436,Aeschin. 3.157,Aes.,, 3.157
s1437,Plat. Apol. 32e,P.,A., 32e
s1437,Plat. Menex. 239c,P.,Menex., 239c
s1437,Isoc. 1.52,I.,, 1.52
s1437,Plat. Apol. 39a,P.,A., 39a
s1437,Xen. Hiero 7.4,X.,Hi., 7.4
s1437,Xen. Anab. 2.6.1,X.,A., 2.6.1
s1437,Xen. Cyrop. 5.2.7,X.,C., 5.2.7
s1437,Aesch. Supp. 308,A.,Supp., 308
s1437,Dem. 9.27,D.,, 9.27
s1437,Thuc. 6.25,T.,, 6.25
s1437,Plat. Lysis 203b,P.,Lys., 203b
s1437,Xen. Ec. 12.15,X.,O., 12.15
s1437,Plat. Rep. 390a,P.,R., 390a
s1437,Plat. Laws 932a,P.,L., 932a
s1439,Xen. Cyrop. 8.7.25,X.,C., 8.7.25
s1439,Plat. Charm. 153d,P.,Charm., 153d
s1439,Xen. Hell. 2.1.23,X.,H., 2.1.23
s1439,Aristoph. Birds 1498,Ar.,Av., 1498
s1439,Dem. 8.36,D.,, 8.36
s1439,Plat. Rep. 403e,P.,R., 403e
s1439,Isoc. 7.80,I.,, 7.80
s1439,Plat. Apol. 38c,P.,A., 38c
s1439,Dem. 23.156,D.,, 23.156
s1439,Xen. Cyrop. 6.1.42,X.,C., 6.1.42
s1439,Thuc. 2.96,T.,, 2.96
s1441,Thuc. 3.92,T.,, 3.92
s1441,Plat. Rep. 404d,P.,R., 404d
s1441,Hdt. 5.62,Hdt.,, 5.62
s1441,Hdt. 6.116,Hdt.,, 6.116
s1441,Xen. Hell. 4.5.15,X.,H., 4.5.15
s1441,Eur. Hipp. 462,E.,Hipp., 462
s1442,Plat. Rep. 456d,P.,R., 456d
s1442,Soph. El. 922,S.,El., 922
s1443,Xen. Anab. 1.3.8,X.,A., 1.3.8
s1443,Plat. Phaedo 66e,P.,Ph., 66e
s1443,Xen. Cyrop. 6.1.8,X.,C., 6.1.8
s1443,Xen. Anab. 3.2.22,X.,A., 3.2.22
s1443,Xen. Cyrop. 8.5.24,X.,C., 8.5.24
s1444,Xen. Anab. 7.2.17,X.,A., 7.2.17
s1444,Xen. Mem. 3.8.9,X.,M., 3.8.9
s1444,Hdt. 3.117,Hdt.,, 3.117
s1445,Thuc. 3.17,T.,, 3.17
s1446,Plat. Gorg. 448a,P.,G., 448a
s1446,Xen. Anab. 1.7.18,X.,A., 1.7.18
s1447,Thuc. 4.133,T.,, 4.133
s1447,Xen. Mem. 4.8.2,X.,M., 4.8.2
s1447,Hdt. 4.50,Hdt.,, 4.50
s1447,Thuc. 6.97,T.,, 6.97
s1447,Thuc. 4.130,T.,, 4.130
s1447,Plat. Crito 44a,P.,Cr., 44a
s1448,Hom. Od. 21.108,H.,Od.,21.108
s1448,Eur. Phoen. 451,E.,Phoen., 451
s1448,Xen. Anab. 1.3.1,X.,A., 1.3.1
s1448,Thuc. 4.47,T.,, 4.47
s1448,Aesch. PB 714,A.,Pr., 714
s1461,Plat. Apol. 23c,P.,A., 23c
s1461,Xen. Anab. 1.9.19,X.,A., 1.9.19
s1461,Thuc. 8.92,T.,, 8.92
s1461,Xen. Cyrop. 8.2.1,X.,C., 8.2.1
s1461,Eur. IA 79,E.,I. A., 79
s1461,Xen. Mem. 3.5.16,X.,M., 3.5.16
s1461,Dem. 3.5,D.,, 3.5
s1461,Thuc. 1.38,T.,, 1.38
s1463,Xen. Anab. 2.3.17,X.,A., 2.3.17
s1463,Xen. Hell. 4.8.24,X.,H., 4.8.24
s1463,Xen. Cyrop. 1.4.7,X.,C., 1.4.7
s1464,Isoc. 1.16,I.,, 1.16
s1464,Thuc. 5.98,T.,, 5.98
s1464,Isoc. 2.29,I.,, 2.29
s1464,Xen. Anab. 1.9.8,X.,A., 1.9.8
s1464,Xen. Anab. 5.2.30,X.,A., 5.2.30
s1464,Xen. Anab. 1.8.12,X.,A., 1.8.12
s1466,Plat. Rep. 349d,P.,R., 349d
s1466,Plat. Apol. 36d,P.,A., 36d
s1467,Xen. Anab. 3.1.31,X.,A., 3.1.31
s1467,Andoc. 4.17,And.,, 4.17
s1467,Thuc. 1.28,T.,, 1.28
s1467,Xen. Hiero 8.10,X.,Hi., 8.10
s1469,Xen. Anab. 1.1.10,X.,A., 1.1.10
s1469,Xen. Cyrop. 8.4.24,X.,C., 8.4.24
s1469,Xen. Anab. 7.5.2,X.,A., 7.5.2
s1469,Thuc. 4.36,T.,, 4.36
s1469,Xen. Anab. 1.3.8,X.,A., 1.3.8
s1469,Soph. Aj. 116,S.,Aj., 116
s1469,Thuc. 6.8,T.,, 6.8
s1469,Xen. Anab. 6.1.31,X.,A., 6.1.31
s1470,Xen. Hell. 3.1.6,X.,H., 3.1.6
s1471,Thuc. 7.63,T.,, 7.63
s1471,Isoc. 15.248,I.,, 15.248
s1471,Lys. 27.16,L.,, 27.16
s1471,Isoc. 9.79,I.,, 9.79
s1471,Thuc. 3.58,T.,, 3.58
s1471,Xen. Cyrop. 8.2.22,X.,C., 8.2.22
s1471,Xen. Ec. 2.15,X.,O., 2.15
s1471,Dem. 21.190,D.,, 21.190
s1471,Plat. Sym. 196c,P.,S., 196c
s1471,Xen. Cyrop. 2.3.1,X.,C., 2.3.1
s1472,Plat. Apol. 28c,P.,A., 28c
s1472,Xen. Cyrop. 4.6.8,X.,C., 4.6.8
s1473,,,C.I.A., /lref>
s1473,Xen. Hell. 3.1.6,X.,H., 3.1.6
s1475,Hom. Od. 12.257,H.,Od.,12.257
s1475,Thuc. 7.1,T.,, 7.1
s1476,Thuc. 1.86,T.,, 1.86
s1476,Plat. Rep. 613e,P.,R., 613e
s1476,Xen. Anab. 2.2.11,X.,A., 2.2.11
s1476,Soph. El. 860,S.,El., 860
s1477,Xen. Cyrop. 8.1.22,X.,C., 8.1.22
s1477,Xen. Cav. 5.8,X.,Hipp., 5.8
s1478,Plat. Prot. 315e,P.,Pr., 315e
s1479,Dem. 29.36,D.,, 29.36
s1479,Dem. 54.17,D.,, 54.17
s1479,Xen. Cyrop. 5.5.34,X.,C., 5.5.34
s1480,Xen. Cyrop. 5.1.6,X.,C., 5.1.6
s1480,Thuc. 2.1,T.,, 2.1
s1481,Xen. Mem. 2.10.1,X.,M., 2.10.1
s1481,Thuc. 7.29,T.,, 7.29
s1481,Xen. Hell. 4.3.21,X.,H., 4.3.21
s1481,Dem. 9.59,D.,, 9.59
s1481,Xen. Anab. 1.1.9,X.,A., 1.1.9
s1481,Thuc. 1.89,T.,, 1.89
s1481,Plat. Menex. 246e,P.,Menex., 246e
s1482,Xen. Cyrop. 8.4.24,X.,C., 8.4.24
s1483,Xen. Cyrop. 7.1.44,X.,C., 7.1.44
s1484,Aristoph. Ach. 812,Ar.,Ach., 812
s1485,Thuc. 1.61,T.,, 1.61
s1486,Hdt. 5.92,Hdt.,, 5.92
s1486,Plat. Rep. 343a,P.,R., 343a
s1486,Xen. Cyrop. 1.3.2,X.,C., 1.3.2
s1486,Plat. Rep. 546d,P.,R., 546d
s1486,Plat. Apol. 27b,P.,A., 27b
s1487,Thuc. 2.3,T.,, 2.3
s1487,Dem. 18.11,D.,, 18.11
s1487,Plat. Phaedo 78b,P.,Ph., 78b
s1487,Thuc. 4.85,T.,, 4.85
s1487,Xen. Hell. 5.3.13,X.,H., 5.3.13
s1488,Dem. 9.70,D.,, 9.70
s1488,,,C.I.A., /lref>
s1488,Xen. Anab. 1.7.4,X.,A., 1.7.4
s1488,Thuc. 1.46,T.,, 1.46
s1488,Dem. 19.205,D.,, 19.205
s1488,Lys. 24.4,L.,, 24.4
s1490,Plat. Laws 715b,P.,L., 715b
s1490,Thuc. 1.51,T.,, 1.51
s1490,Thuc. 4.64,T.,, 4.64
s1490,Thuc. 2.7,T.,, 2.7
s1492,Dem. 19.247,D.,, 19.247
s1493,Aeschin. 2.172,Aes.,, 2.172
s1493,Isaeus 3.13,Is.,, 3.13
s1495,Plat. Rep. 389d,P.,R., 389d
s1495,Soph. OC 20,S.,O. C., 20
s1495,Xen. Anab. 1.2.17,X.,A., 1.2.17
s1495,Xen. Anab. 3.2.19,X.,A., 3.2.19
s1496,Hdt. 3.88,Hdt.,, 3.88
s1496,Aristoph. Birds 445,Ar.,Av., 445
s1496,Soph. Trach. 1071,S.,Tr., 1071
s1496,Hdt. 3.160,Hdt.,, 3.160
s1497,Plat. Rep. 589c,P.,R., 589c
s1497,Xen. Anab. 3.1.38,X.,A., 3.1.38
s1497,Dem. 4.7,D.,, 4.7
s1497,Thuc. 2.49,T.,, 2.49
s1497,Xen. Anab. 6.4.1,X.,A., 6.4.1
s1497,Aeschin. 3.179,Aes.,, 3.179
s1498,Plat. Prot. 321c,P.,Pr., 321c
s1498,Xen. Anab. 6.3.10,X.,A., 6.3.10
s1498,Thuc. 3.29,T.,, 3.29
s1498,Thuc. 1.13,T.,, 1.13
s1498,Isaeus 6.14,Is.,, 6.14
s1499,Plat. Tim. 36d,P.,Tim., 36d
s1499,Lys. 2.64,L.,, 2.64
s1499,Thuc. 6.2,T.,, 6.2
s1499,Dem. 21.35,D.,, 21.35
s1499,Xen. Anab. 2.1.20,X.,A., 2.1.20
s1499,Andoc. 4.16,And.,, 4.16
s1500,Lys. 3.21,L.,, 3.21
s1500,Dem. 40.34,D.,, 40.34
s1501,Xen. Cyrop. 5.1.4,X.,C., 5.1.4
s1501,Aesch. Ag. 1629,A.,Ag., 1629
s1501,Dem. 1.8,D.,, 1.8
s1502,Plat. Apol. 30d,P.,A., 30d
s1502,Plat. Rep. 607a,P.,R., 607a
s1502,Dem. 3.20,D.,, 3.20
s1502,Plat. Apol. 30a,P.,A., 30a
s1502,Xen. Anab. 5.6.29,X.,A., 5.6.29
s1502,Thuc. 5.5,T.,, 5.5
s1507,Lys. 3.8,L.,, 3.8
s1507,Soph. Ant. 164,S.,Ant., 164
s1507,Xen. Anab. 6.4.27,X.,A., 6.4.27
s1507,Thuc. 1.49,T.,, 1.49
s1507,Hom. Od. 11.161,H.,Od.,11.161
s1507,Xen. Anab. 2.4.12,X.,A., 2.4.12
s1507,Hom. Il. 24.731,H.,Il.,24.731
s1507,Xen. Hell. 1.1.16,X.,H., 1.1.16
s1507,Thuc. 2.65,T.,, 2.65
s1507,Dem. 21.104,D.,, 21.104
s1507,Xen. Anab. 1.5.12,X.,A., 1.5.12
s1507,Thuc. 6.44,T.,, 6.44
s1508,Lys. 27.6,L.,, 27.6
s1508,Thuc. 7.75,T.,, 7.75
s1508,Xen. Cyrop. 6.1.29,X.,C., 6.1.29
s1509,Xen. Hiero 5.3,X.,Hi., 5.3
s1509,Thuc. 1.77,T.,, 1.77
s1509,Dem. 3.6,D.,, 3.6
s1510,Plat. Rep. 397b,P.,R., 397b
s1511,Soph. Phil. 1393,S.,Ph., 1393
s1511,Xen. Anab. 6.1.31,X.,A., 6.1.31
s1511,Soph. OT 17,S.,O. T., 17
s1512,Thuc. 3.20,T.,, 3.20
s1512,Xen. Anab. 2.3.1,X.,A., 2.3.1
s1512,Dem. 9.10,D.,, 9.10
s1512,Plat. Rep. 582a,P.,R., 582a
s1513,Plat. Laws 858e,P.,L., 858e
s1513,Xen. Anab. 4.7.23,X.,A., 4.7.23
s1513,Xen. Cyrop. 8.3.40,X.,C., 8.3.40
s1513,Xen. Hell. 1.1.1,X.,H., 1.1.1
s1513,Plat. Phaedo 101a,P.,Ph., 101a
s1513,Thuc. 5.47,T.,, 5.47
s1514,Xen. Anab. 7.5.9,X.,A., 7.5.9
s1516,Thuc. 5.43,T.,, 5.43
s1516,Dem. 21.165,D.,, 21.165
s1516,Xen. Anab. 2.6.9,X.,A., 2.6.9
s1516,Xen. Cyrop. 2.3.5,X.,C., 2.3.5
s1516,Thuc. 1.9,T.,, 1.9
s1517,Thuc. 7.75,T.,, 7.75
s1517,Dem. 21.74,D.,, 21.74
s1517,Xen. Anab. 1.9.26,X.,A., 1.9.26
s1517,Thuc. 3.97,T.,, 3.97
s1517,Xen. Anab. 2.6.13,X.,A., 2.6.13
s1519,Thuc. 6.33,T.,, 6.33
s1523,Thuc. 5.55,T.,, 5.55
s1523,Dem. 18.31,D.,, 18.31
s1523,Xen. Mem. 3.5.16,X.,M., 3.5.16
s1523,Xen. Anab. 3.2.8,X.,A., 3.2.8
s1523,Plat. Prot. 337b,P.,Pr., 337b
s1523,Xen. Anab. 2.5.4,X.,A., 2.5.4
s1523,Thuc. 2.72,T.,, 2.72
s1523,Plat. Apol. 37a,P.,A., 37a
s1523,,Men.,Sent., 274
s1523,Xen. Hell. 2.4.20,X.,H., 2.4.20
s1523,Thuc. 4.36,T.,, 4.36
s1524,Plat. Rep. 474c,P.,R., 474c
s1524,Xen. Anab. 3.1.25,X.,A., 3.1.25
s1525,Xen. Cyrop. 2.2.9,X.,C., 2.2.9
s1525,Thuc. 4.14,T.,, 4.14
s1525,Xen. Cyrop. 3.3.40,X.,C., 3.3.40
s1526,Xen. Anab. 7.6.29,X.,A., 7.6.29
s1526,Thuc. 6.62,T.,, 6.62
s1526,Xen. Anab. 1.7.14,X.,A., 1.7.14
s1527,Thuc. 4.127,T.,, 4.127
s1527,,,C.I.A., /lref>
s1527,Xen. Hiero 4.3,X.,Hi., 4.3
s1527,Xen. Anab. 1.8.19,X.,A., 1.8.19
s1528,Thuc. 2.98,T.,, 2.98
s1528,Lys. 1.20,L.,, 1.20
s1529,Dem. 21.10,D.,, 21.10
s1529,Thuc. 4.23,T.,, 4.23
s1529,Plat. Rep. 466c,P.,R., 466c
s1529,Plat. Laws 844e,P.,L., 844e
s1529,Dem. 9.58,D.,, 9.58
s1531,Hom. Il. 24.306,H.,Il.,24.306
s1531,Soph. OT 1266,S.,O. T., 1266
s1531,Hom. Od. 10.333,H.,Od.,10.333
s1537,Hom. Il. 1.180,H.,Il.,1.180
s1537,Thuc. 2.2,T.,, 2.2
s1540,Thuc. 1.30,T.,, 1.30
s1540,Andoc. 1.137,And.,, 1.137
s1540,Lys. 21.1,L.,, 21.1
s1540,Xen. Hell. 1.1.14,X.,H., 1.1.14
s1540,Aeschin. 2.90,Aes.,, 2.90
s1540,Dem. 18.29,D.,, 18.29
s1541,Dem. 21.156,D.,, 21.156
s1541,Aeschin. 3.176,Aes.,, 3.176
s1542,Xen. Ec. 17.3,X.,O., 17.3
s1542,Xen. Anab. 4.8.8,X.,A., 4.8.8
s1542,Lys. 2.54,L.,, 2.54
s1542,Plat. Apol. 19a,P.,A., 19a
s1542,Thuc. 6.27,T.,, 6.27
s1542,Aeschin. 2.123,Aes.,, 2.123
s1545,Plat. Gorg. 510c,P.,G., 510c
s1545,Xen. Anab. 5.6.8,X.,A., 5.6.8
s1545,Plat. Apol. 34b,P.,A., 34b
s1545,Xen. Anab. 4.1.10,X.,A., 4.1.10
s1545,Xen. Cyrop. 1.6.19,X.,C., 1.6.19
s1545,Plat. Charm. 162d,P.,Charm., 162d
s1549,Thuc. 2.23,T.,, 2.23
s1549,Isoc. 1.13,I.,, 1.13
s1549,Lys. 21.8,L.,, 21.8
s1555,Eur. Supp. 1060,E.,Supp., 1060
s1558,Eur. Hec. 53,E.,Hec., 53
s1558,Hdt. 6.58,Hdt.,, 6.58
s1562,Lys. 28.10,L.,, 28.10
s1562,Xen. Anab. 3.4.35,X.,A., 3.4.35
s1564,Plat. Apol. 19c,P.,A., 19c
s1564,Dem. 59.97,D.,, 59.97
s1564,Antiph. 6.27,Ant.,, 6.27
s1564,Aesch. Lib. 142,A.,Ch., 142
s1565,Plat. Apol. 22e,P.,A., 22e
s1565,Thuc. 5.34,T.,, 5.34
s1566,Xen. Hell. 4.8.1,X.,H., 4.8.1
s1567,Soph. Aj. 760,S.,Aj., 760
s1567,Isoc. 19.24,I.,, 19.24
s1567,Xen. Hell. 1.2.17,X.,H., 1.2.17
s1567,Thuc. 1.112,T.,, 1.112
s1568,Dem. 18.151,D.,, 18.151
s1569,Soph. Phil. 145,S.,Ph., 145
s1569,Eur. Supp. 987,E.,Supp., 987
s1569,Eur. Orest. 956,E.,Or., 956
s1570,Soph. Phil. 783,S.,Ph., 783
s1570,Hom. Od. 19.446,H.,Od.,19.446
s1570,Aesch. Ag. 375,A.,Ag., 375
s1570,Xen. Hell. 1.6.37,X.,H., 1.6.37
s1570,Thuc. 8.58,T.,, 8.58
s1570,Thuc. 1.126,T.,, 1.126
s1570,Lys. 19.28,L.,, 19.28
s1570,Xen. Anab. 2.6.10,X.,A., 2.6.10
s1570,Dem. 45.85,D.,, 45.85
s1571,Eur. Her. 708,E.,H. F., 708
s1572,Soph. El. 1415,S.,El., 1415
s1572,Xen. Anab. 5.8.12,X.,A., 5.8.12
s1573,Dem. 5.5,D.,, 5.5
s1573,Plat. Gorg. 525d,P.,G., 525d
s1573,Xen. Anab. 3.1.27,X.,A., 3.1.27
s1573,Dem. 14.34,D.,, 14.34
s1573,Lys. 30.14,L.,, 30.14
s1573,Xen. Anab. 6.4.2,X.,A., 6.4.2
s1573,Dem. 19.32,D.,, 19.32
s1573,Xen. Anab. 1.3.18,X.,A., 1.3.18
s1573,Plat. Laws 868b,P.,L., 868b
s1574,Plat. Laws 836d,P.,L., 836d
s1574,Xen. Anab. 2.2.13,X.,A., 2.2.13
s1578,Hdt. 3.56,Hdt.,, 3.56
s1578,Dem. 19.134,D.,, 19.134
s1579,Soph. OC 919,S.,O. C., 919
s1579,Plat. Rep. 565c,P.,R., 565c
s1579,Thuc. 7.4,T.,, 7.4
s1579,Dem. 9.21,D.,, 9.21
s1581,Xen. Cyrop. 1.6.43,X.,C., 1.6.43
s1581,Xen. Anab. 1.2.5,X.,A., 1.2.5
s1581,Thuc. 2.5,T.,, 2.5
s1582,Xen. Anab. 1.2.6,X.,A., 1.2.6
s1582,Thuc. 3.114,T.,, 3.114
s1583,Aeschin. 3.7,Aes.,, 3.7
s1584,Plat. Apol. 17d,P.,A., 17d
s1585,Lys. 24.6,L.,, 24.6
s1585,Plat. Prot. 309d,P.,Pr., 309d
s1585,Dem. 3.4,D.,, 3.4
s1588,Hdt. 9.26,Hdt.,, 9.26
s1588,Hom. Od. 1.332,H.,Od.,1.332
s1588,Soph. OT 35,S.,O. T., 35
s1588,Eur. Tro. 883,E.,Tro., 883
s1595,Hdt. 3.76,Hdt.,, 3.76
s1596,Aristoph. Thes. 269,Ar.,Thesm., 269
s1596,Soph. OT 1088,S.,O. T., 1088
s1596,Aristoph. Wasps 1438,Ar.,Vesp., 1438
s1596,Plat. Gorg. 466e,P.,G., 466e
s1597,Xen. Anab. 1.5.6,X.,A., 1.5.6
s1598,Dem. 4.45,D.,, 4.45
s1598,Plat. Charm. 158c,P.,Charm., 158c
s1598,Soph. Ant. 787,S.,Ant., 787
s1598,Aesch. Ag. 1090,A.,Ag., 1090
s1598,Xen. Cyrop. 3.3.9,X.,C., 3.3.9
s1598,Plat. Apol. 18b,P.,A., 18b
s1598,Aesch. Lib. 23,A.,Ch., 23
s1598,Aesch. PB 904,A.,Pr., 904
s1599,Aristoph. Birds 274,Ar.,Av., 274
s1599,Eur. Alc. 275,E.,Alc., 275
s1599,Aristoph. Ach. 345,Ar.,Ach., 345
s1601,Aesch. Pers. 27,A.,Pers., 27
s1601,Plat. Lach. 194d,P.,Lach., 194d
s1601,Soph. OT 1421,S.,O. T., 1421
s1601,Xen. Cyrop. 5.4.11,X.,C., 5.4.11
s1601,Aeschin. 3.153,Aes.,, 3.153
s1601,Eur. Ba. 460,E.,Bacch., 460
s1601,Plat. Rep. 462d,P.,R., 462d
s1601,Hom. Od. 5.213,H.,Od.,5.213
s1601,Plat. Rep. 453b,P.,R., 453b
s1601,Hom. Il. 11.240,H.,Il.,11.240
s1601,Soph. OT 371,S.,O. T., 371
s1601,Xen. Anab. 1.2.23,X.,A., 1.2.23
s1602,Hom. Od. 16.242,H.,Od.,16.242
s1602,Lys. 10.29,L.,, 10.29
s1608,Soph. Phil. 1413,S.,Ph., 1413
s1608,Plat. Laws 705e,P.,L., 705e
s1608,Hdt. 5.33,Hdt.,, 5.33
s1608,Hdt. 5.99,Hdt.,, 5.99
s1608,Aristoph. Pl. 53,Ar.,Plut., 53
s1609,Antiph. 5.73,Ant.,, 5.73
s1610,Xen. Anab. 3.2.20,X.,A., 3.2.20
s1610,Plat. Prot. 310e,P.,Pr., 310e
s1612,Thuc. 8.41,T.,, 8.41
s1612,Aesch. Ag. 814,A.,Ag., 814
s1612,Eur. Orest. 1069,E.,Or., 1069
s1612,Soph. OC 583,S.,O. C., 583
s1612,Soph. OC 1120,S.,O. C., 1120
s1612,Soph. El. 556,S.,El., 556
s1613,Xen. Ec. 20.14,X.,O., 20.14
s1613,Plat. Prot. 312a,P.,Pr., 312a
s1613,Xen. Ec. 7.42,X.,O., 7.42
s1613,Xen. Cyrop. 1.3.18,X.,C., 1.3.18
s1613,Xen. Hell. 6.2.11,X.,H., 6.2.11
s1613,Soph. OT 609,S.,O. T., 609
s1613,Xen. Cyrop. 2.4.8,X.,C., 2.4.8
s1613,Xen. Anab. 1.1.2,X.,A., 1.1.2
s1613,Plat. Crat. 435b,P.,Crat., 435b
